Symbol,Description,Local Symbol,IPO Date,Category1,Category2,Category3,GICS Sector,ISIN,SEDOL,Market Cap,Currency,Actions
TT:1602,PACIFIC ELECTRIC WIRE,1602,1/23/2022,Global Equity,Common stocks,Emerging markets,Industrials,TW0001602001,6666138,0,TWD,Analyze
TT:1729,Pihsiang Machinery Manufacturing Co Ltd Common,1729,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,TW0001729002,6338857,0,TWD,Analyze
TT:1896887D,Mercuries Life Insurance Co Ltd,1896887D,1/23/2022,Global Equity,Common stocks,Emerging markets,Financials,,996S2Z3,0,TWD,Analyze
TT:1899471D,Fitipower Integrated Technology In,1899471D,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,,991YST7,0,TWD,Analyze
TT:1900735D,Iteq Corp,1900735D,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,,9957149,0,TWD,Analyze
TT:1901189D,Shin Kong Financial Holding Co Ltd,1901189D,1/23/2022,Global Equity,Common stocks,Emerging markets,Financials,,9917860,0,TWD,Analyze
TT:1905464D,Ta Chen Stainless Pipe Co Ltd,1905464D,1/23/2022,Global Equity,Common stocks,Emerging markets,Materials,,9973109,0,TWD,Analyze
TT:1907184D,Lotes Co Ltd,1907184D,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,,9983310,0,TWD,Analyze
TT:1913783D,Tanvex Biopharma Inc,1913783D,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,,99YQH87,0,TWD,Analyze
TT:1916815D,Airtac International Group,1916815D,1/23/2022,Global Equity,Common stocks,Emerging markets,Industrials,,9952J81,0,TWD,Analyze
TT:2384,Wintek Corp Common Stock Twd 10,2384,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0002384005,6139607,0,TWD,Analyze
TT:2418,YA HSIN INDUSTRIAL CO. LTD.,2418,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0002418001,6115834,0,TWD,Analyze
TT:2883B,CHINA DEVELOPMENT FINANCIAL HOLDIN,2883B,12/30/2021,Global Equity,Comon stocks,Emerging markets,Financials,,,0,TWD,Analyze
TT:3081,LAND MARK CORP,3081,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003081006,BL951P4,0,TWD,Analyze
TT:3105,WIN SEMICONDUCTORS CORP,3105,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003105003,B56LHP5,0,TWD,Analyze
TT:3152,ADVANCED CERAMIC X CORP,3152,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003152005,B04S935,0,TWD,Analyze
TT:3176,Medigen Biotechnology Corporation,3176,1/23/2022,Global Equity,Common stocks,Emerging markets,Health Care,,,0,TWD,Analyze
TT:3211,Dynapack International Technology Corporation,3211,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,,,0,TWD,Analyze
TT:3227,PIXART IMAGING INC,3227,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003227005,6673365,0,TWD,Analyze
TT:3260,ADATA TECHNOLOGY LTD,3260,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003260006,6718943,0,TWD,Analyze
TT:3264,ARDENTEC CORP,3264,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003264008,6743332,0,TWD,Analyze
TT:3293,INTERNATIONAL GAMES SYSTEM LTD,3293,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003293007,6744807,0,TWD,Analyze
TT:3324,Auras Technology Co. Ltd.,3324,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,,,0,TWD,Analyze
TT:3374,XINTEC INC,3374,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003374005,B02Q6G3,0,TWD,Analyze
TT:3520,Jhen Vei Electronic Co. Ltd.,3520,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,,,0,TWD,Analyze
TT:3527,Macroblock Inc.,3527,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,,,0,TWD,Analyze
TT:3529,eMemory Technology Inc.,3529,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003529004,B2PXYH2,0,TWD,Analyze
TT:3552,TUNG THIH ELECTRONIC LTD,3552,1/23/2022,Global Equity,Common stocks,Emerging markets,Consumer Discretionary,TW0003552006,B1YYYZ7,0,TWD,Analyze
TT:3662,XPEC ENTERTAINMENT INC,3662,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0003662003,B4X6ZD0,0,TWD,Analyze
TT:3688,HLJ Technology Co. Ltd.,3688,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,,,0,TWD,Analyze
